번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
189,조기찜,227.8,12.3,32.4,5.4,4,0
190,참꼬막,425.7,36,50.3,8.9,0,0
191,해물찜,478,11.3,42.6,29.2,0,0
192,소갈비찜,247.3,8.8,20.6,14.4,1.8,0
193,돼지갈비찜,1176.3,8.7,61.5,99.5,0,0
194,돼지고기수육,1351,140.6,114.9,36.5,57.5,0
195,찜닭,382.9,32.3,26,16.6,0,0
196,족발,182.2,4.8,16.2,10.9,0,0
197,달걀찜,567.4,24.5,52.3,28.9,3.5,0
198,닭갈비,430.2,32.2,30.9,19.8,21.4,0
199,닭꼬치,242.5,7.6,20,14.7,5,0
200,돼지갈비,743,26.6,43.1,51.6,12.5,0
201,떡갈비,379.8,13,32.9,21.8,1.1,0
202,불고기,633.9,6.5,35.6,51.7,0,0
203,소곱창구이,957.2,27.7,62,66.5,14.3,0
204,소양념갈비구이,443.8,49.1,35.6,11.7,23.7,0
205,소불고기,480.9,15,29.3,33.7,8.4,0
206,양념왕갈비,437.5,21.4,24.9,28,0,0
207,햄버거스테이크,781.8,11.8,38.2,64.6,6.2,0
208,훈제오리,682,50.7,47.3,32.2,3.6,0
209,치킨데리야끼,213.6,10,11.4,14.2,2.4,0
210,치킨윙,200.9,31.8,5.8,5.6,10.8,0
211,더덕구이,162.9,19,6.8,6.6,2.1,0
212,양배추구이,250.5,3.8,23.5,15.7,0,0
213,두부구이,347.3,8.5,37.8,18,0,0
214,삼치구이,210.7,6.7,30,7.1,0,0
215,가자미전,187.6,13.9,12.6,9.1,0,0
216,굴전,270.7,11.5,19.9,16.1,0,0
217,동태전,275.6,27.7,12.9,12.6,0,0
218,해물파전,306,14.7,19.7,18.7,0,0
219,동그랑땡,230.5,9.7,13.1,15.5,0,0
220,햄부침,190.8,6.7,19.6,9.5,0.3,0
221,육전,376.4,53.8,9.7,13.6,0,0
222,감자전,260.6,17.8,13.9,14.9,0.8,0
223,고추전,293.3,32.1,13.2,12.5,0,0
